J2000	z_emission	z_absorption	delta_alpha	error_delta_alpha	extra_error_delta_alpha	dipole_delta_alpha	dipole_angle	sample	source	sigflag	imrotator	transitions
J110325-264515	2.145	1.5515	-6.69	9.98	13.472301213972319	1.7720846374955121	68.5189	D	VLT	3	0	b1 b2 j4 j6 j8 c1 e1
J110325-264515	2.145	1.8389	6.12	3.95	9.874462010661645	1.7720846374955121	68.5189	D	VLT	3	0	a2 j1 j4 j5 e1
J111113-080401	3.9219999999999997	3.6077	229.62	161.34	161.59362023297825	-0.7272562138649694	83.7694	D	VLT	3	0	j1 e1
J112010-134625	3.958	1.6283	8.86	11.3	14.477309832976568	0.28305331987950655	77.7202	D	VLT	3	0	b2 j4 j5 j6
J112442-170517	2.4	0.8062	17.38	13.73	16.444312086554426	0.8442864850901054	74.3033	D	VLT	3	0	b1 b2 j4 j5 j6 j7 j8
J112442-170517	2.4	1.2342	22.71	15.71	18.130267510436795	0.8442864850901054	74.3033	D	VLT	3	0	a2 b1 b2 j4 j6 j8 d1 d2
J115411+063426	2.762	1.7739	-7.39	7.84	11.973641885408133	-2.016755183049202	91.3986	D	VLT	3	0	j4 j5 j6 e2 h1 h2 h3 l1 l2 k1 k2 k3 i1 i3
J115411+063426	2.762	1.8197	-9.48	9.74	13.295491717119756	-2.016755183049202	91.3986	D	VLT	3	0	b1 b2 j1 j6 j7 j8 c1
J115411+063426	2.762	2.366	30.9	17.8	19.96853775317562	-2.016755183049202	91.3986	D	VLT	3	0	j1 j7 j8 c1 e1
J115944+011206	2.0	0.7908	15.61	10.8	14.090510991443853	-1.106503492698893	86.0186	D	VLT	3	0	b1 b2 j4 j6 j8
J115944+011206	2.0	1.3305	21.37	22.49	24.242578245722957	-1.106503492698893	86.0186	D	VLT	3	0	b1 b2 j4 j6 j7 j8 c1
J115944+011206	2.0	1.9438	5.18	4.42	10.071688041237179	-1.106503492698893	86.0186	D	VLT	3	0	a2 j1 j2 j3 j5 e1 e2 h1 h3 k1 k2 k3 i1
J120342+102831	1.8880000000000001	1.3224	-9.65	19.3	21.31648423169262	-2.406453327019878	93.7029	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8 c1 e1
J120342+102831	1.8880000000000001	1.3422	-20.06	14.43	17.033126547994648	-2.406453327019878	93.7029	D	VLT	3	0	a2 b1 b2 j1 j6 j7 j8 e1
J120342+102831	1.8880000000000001	1.5789	17.43	27.16	28.628099832157915	-2.406453327019878	93.7029	D	VLT	3	0	a2 j4 j6 j7 j8 e1
J121140+103002	2.193	1.0496	-15.38	6.72	11.272129346312523	-2.253250934263197	92.7965	D	VLT	3	0	a2 b1 b2 j4 j5 j6 j7 j8
J123200-022404	1.043	0.7569	22.53	32.19	33.43798139840382	0.06629353424787779	79.0274	D	VLT	3	0	a2 b1 b2 j4 j6
J123200-022404	1.043	0.8308	16.72	9.11	12.841129233832982	0.06629353424787779	79.0274	D	VLT	3	0	a2 b1 b2 j4 j6 j7 j8
